
Computing for N = 21:
25: 400% done, found 0 solutions
25: 410% done, found 0 solutions
25: 420% done, found 0 solutions
25: 430% done, found 0 solutions
25: 440% done, found 0 solutions
25: 450% done, found 0 solutions
25: 460% done, found 0 solutions
25: 470% done, found 0 solutions
25: 480% done, found 0 solutions
25: 490% done, found 0 solutions
25: 500% done, found 0 solutions
25: 510% done, found 0 solutions
25: 520% done, found 0 solutions
25: 530% done, found 0 solutions
25: 540% done, found 0 solutions
25: 550% done, found 0 solutions
25: 560% done, found 0 solutions
25: 570% done, found 2 solutions
25: 580% done, found 2 solutions
25: 590% done, found 2 solutions
25: 600% done, found 2 solutions
25: 610% done, found 2 solutions
25: 620% done, found 2 solutions
25: 630% done, found 2 solutions
25: 640% done, found 2 solutions
25: 650% done, found 2 solutions
25: 660% done, found 2 solutions
25: 670% done, found 2 solutions
25: 680% done, found 2 solutions
25: 690% done, found 2 solutions
25: 700% done, found 2 solutions
25: 710% done, found 2 solutions
25: 720% done, found 2 solutions
25: 730% done, found 2 solutions
25: 740% done, found 2 solutions
25: 750% done, found 2 solutions
25: 760% done, found 2 solutions
25: 770% done, found 2 solutions
25: 780% done, found 2 solutions
25: 790% done, found 2 solutions
25: 800% done, found 2 solutions
25: 810% done, found 2 solutions
25: 820% done, found 2 solutions
25: 830% done, found 2 solutions
25: 840% done, found 2 solutions
25: 850% done, found 2 solutions
25: 860% done, found 4 solutions
25: 870% done, found 4 solutions
25: 880% done, found 4 solutions
25: 890% done, found 4 solutions
25: 900% done, found 5 solutions
25: 910% done, found 5 solutions
25: 920% done, found 5 solutions
25: 930% done, found 5 solutions
25: 940% done, found 5 solutions
25: 950% done, found 5 solutions
25: 960% done, found 5 solutions
25: 970% done, found 5 solutions
25: 980% done, found 5 solutions
25: 990% done, found 5 solutions
25: 1000% done, found 5 solutions
n = 25,	0:12:27 ---> 1550475334214501539088894, 1553242162893771850669378, 3706907995955475988644380, 3706907995955475988644381, 4422095118095899619457938

Computing for N = 26:
26: 10% done, found 0 solutions
26: 20% done, found 0 solutions
26: 30% done, found 0 solutions
26: 40% done, found 0 solutions
26: 50% done, found 0 solutions
26: 60% done, found 0 solutions
26: 70% done, found 0 solutions
26: 80% done, found 0 solutions
26: 90% done, found 0 solutions
26: 100% done, found 0 solutions
26: 110% done, found 0 solutions
26: 120% done, found 0 solutions
26: 130% done, found 0 solutions
26: 140% done, found 0 solutions
26: 150% done, found 0 solutions
26: 160% done, found 0 solutions
26: 170% done, found 0 solutions
26: 180% done, found 0 solutions
26: 190% done, found 0 solutions
26: 200% done, found 0 solutions
26: 210% done, found 0 solutions
26: 220% done, found 0 solutions
26: 230% done, found 0 solutions
26: 240% done, found 0 solutions
26: 250% done, found 0 solutions
26: 260% done, found 0 solutions
26: 270% done, found 0 solutions
26: 280% done, found 0 solutions
26: 290% done, found 0 solutions
26: 300% done, found 0 solutions
26: 310% done, found 0 solutions
26: 320% done, found 0 solutions
26: 330% done, found 0 solutions
26: 340% done, found 0 solutions
26: 350% done, found 0 solutions
26: 360% done, found 0 solutions
26: 370% done, found 0 solutions
26: 380% done, found 0 solutions
26: 390% done, found 0 solutions
26: 400% done, found 0 solutions
26: 410% done, found 0 solutions
26: 420% done, found 0 solutions
26: 430% done, found 0 solutions
26: 440% done, found 0 solutions
26: 450% done, found 0 solutions
26: 460% done, found 0 solutions
26: 470% done, found 0 solutions
26: 480% done, found 0 solutions
26: 490% done, found 0 solutions
26: 500% done, found 0 solutions
26: 510% done, found 0 solutions
26: 520% done, found 0 solutions
26: 530% done, found 0 solutions
26: 540% done, found 0 solutions
26: 550% done, found 0 solutions
26: 560% done, found 0 solutions
26: 570% done, found 0 solutions
26: 580% done, found 0 solutions
26: 590% done, found 0 solutions
26: 600% done, found 0 solutions
26: 610% done, found 0 solutions
26: 620% done, found 0 solutions
26: 630% done, found 0 solutions
26: 640% done, found 0 solutions
26: 650% done, found 0 solutions
26: 660% done, found 0 solutions
26: 670% done, found 0 solutions
26: 680% done, found 0 solutions
26: 690% done, found 0 solutions
26: 700% done, found 0 solutions
26: 710% done, found 0 solutions
26: 720% done, found 0 solutions
26: 730% done, found 0 solutions
26: 740% done, found 0 solutions
26: 750% done, found 0 solutions
26: 760% done, found 0 solutions
26: 770% done, found 0 solutions
26: 780% done, found 0 solutions
26: 790% done, found 0 solutions
26: 800% done, found 0 solutions
26: 810% done, found 0 solutions
26: 820% done, found 0 solutions
26: 830% done, found 0 solutions
26: 840% done, found 0 solutions
26: 850% done, found 0 solutions
26: 860% done, found 0 solutions
26: 870% done, found 0 solutions
26: 880% done, found 0 solutions
26: 890% done, found 0 solutions
26: 900% done, found 0 solutions
26: 910% done, found 0 solutions
26: 920% done, found 0 solutions
26: 930% done, found 0 solutions
26: 940% done, found 0 solutions
26: 950% done, found 0 solutions
26: 960% done, found 0 solutions
26: 970% done, found 0 solutions
26: 980% done, found 0 solutions
26: 990% done, found 0 solutions
26: 1000% done, found 0 solutions
n = 26,	0:18:13 ... 

Computing for N = 27:
27: 10% done, found 0 solutions
27: 20% done, found 0 solutions
27: 30% done, found 0 solutions
27: 40% done, found 0 solutions
27: 50% done, found 0 solutions
27: 60% done, found 0 solutions
27: 70% done, found 0 solutions
27: 80% done, found 0 solutions
27: 90% done, found 0 solutions
27: 100% done, found 0 solutions
27: 110% done, found 0 solutions
27: 120% done, found 0 solutions
27: 130% done, found 0 solutions
27: 140% done, found 0 solutions
27: 150% done, found 0 solutions
27: 160% done, found 0 solutions
27: 170% done, found 0 solutions
27: 180% done, found 0 solutions
27: 190% done, found 0 solutions
27: 200% done, found 0 solutions
27: 210% done, found 0 solutions
27: 220% done, found 0 solutions
27: 230% done, found 0 solutions
27: 240% done, found 0 solutions
27: 250% done, found 0 solutions
27: 260% done, found 0 solutions
27: 270% done, found 0 solutions
27: 280% done, found 0 solutions
27: 290% done, found 0 solutions
27: 300% done, found 0 solutions
27: 310% done, found 0 solutions
27: 320% done, found 0 solutions
27: 330% done, found 0 solutions
27: 340% done, found 0 solutions
27: 350% done, found 0 solutions
27: 360% done, found 0 solutions
27: 370% done, found 0 solutions
27: 380% done, found 0 solutions
27: 390% done, found 0 solutions
27: 400% done, found 0 solutions
27: 410% done, found 0 solutions
27: 420% done, found 0 solutions
27: 430% done, found 0 solutions
27: 440% done, found 0 solutions
27: 450% done, found 0 solutions
27: 460% done, found 0 solutions
27: 470% done, found 0 solutions
27: 480% done, found 0 solutions
27: 490% done, found 0 solutions
27: 500% done, found 0 solutions
27: 510% done, found 0 solutions
27: 520% done, found 2 solutions
27: 530% done, found 2 solutions
27: 540% done, found 2 solutions
27: 550% done, found 2 solutions
27: 560% done, found 2 solutions
27: 570% done, found 3 solutions
27: 580% done, found 3 solutions
27: 590% done, found 3 solutions
27: 600% done, found 3 solutions
27: 610% done, found 4 solutions
27: 620% done, found 4 solutions
27: 630% done, found 4 solutions
27: 640% done, found 5 solutions
27: 650% done, found 5 solutions
27: 660% done, found 5 solutions
27: 670% done, found 5 solutions
27: 680% done, found 5 solutions
27: 690% done, found 5 solutions
27: 700% done, found 5 solutions
27: 710% done, found 5 solutions
27: 720% done, found 5 solutions
27: 730% done, found 5 solutions
27: 740% done, found 5 solutions
27: 750% done, found 5 solutions
27: 760% done, found 5 solutions
27: 770% done, found 5 solutions
27: 780% done, found 5 solutions
27: 790% done, found 5 solutions
27: 800% done, found 5 solutions
27: 810% done, found 5 solutions
27: 820% done, found 5 solutions
27: 830% done, found 5 solutions
27: 840% done, found 5 solutions
27: 850% done, found 5 solutions
27: 860% done, found 5 solutions
27: 870% done, found 5 solutions
27: 880% done, found 5 solutions
27: 890% done, found 5 solutions
27: 900% done, found 5 solutions
27: 910% done, found 5 solutions
27: 920% done, found 5 solutions
27: 930% done, found 5 solutions
27: 940% done, found 5 solutions
27: 950% done, found 5 solutions
27: 960% done, found 5 solutions
27: 970% done, found 5 solutions
27: 980% done, found 5 solutions
27: 990% done, found 5 solutions
27: 1000% done, found 5 solutions
n = 27,	0:24:19 ---> 121204998563613372405438066, 121270696006801314328439376, 128851796696487777842012787, 174650464499531377631639254, 177265453171792792366489765

Computing for N = 28:
28: 10% done, found 0 solutions
28: 20% done, found 0 solutions
28: 30% done, found 0 solutions
28: 40% done, found 0 solutions
28: 50% done, found 0 solutions
28: 60% done, found 0 solutions
28: 70% done, found 0 solutions
28: 80% done, found 0 solutions
28: 90% done, found 0 solutions
28: 100% done, found 0 solutions
28: 110% done, found 0 solutions
28: 120% done, found 0 solutions
28: 130% done, found 0 solutions
28: 140% done, found 0 solutions
28: 150% done, found 0 solutions
28: 160% done, found 0 solutions
28: 170% done, found 0 solutions
28: 180% done, found 0 solutions
28: 190% done, found 0 solutions
28: 200% done, found 0 solutions
28: 210% done, found 0 solutions
28: 220% done, found 0 solutions
28: 230% done, found 0 solutions
28: 240% done, found 0 solutions
28: 250% done, found 0 solutions
28: 260% done, found 0 solutions
28: 270% done, found 0 solutions
28: 280% done, found 0 solutions
28: 290% done, found 0 solutions
28: 300% done, found 0 solutions
28: 310% done, found 0 solutions
28: 320% done, found 0 solutions
28: 330% done, found 0 solutions
28: 340% done, found 0 solutions
28: 350% done, found 0 solutions
28: 360% done, found 0 solutions
28: 370% done, found 0 solutions
28: 380% done, found 0 solutions
28: 390% done, found 0 solutions
28: 400% done, found 0 solutions
28: 410% done, found 0 solutions
28: 420% done, found 0 solutions
28: 430% done, found 0 solutions
28: 440% done, found 0 solutions
28: 450% done, found 0 solutions
28: 460% done, found 0 solutions
28: 470% done, found 0 solutions
28: 480% done, found 0 solutions
28: 490% done, found 0 solutions
28: 500% done, found 0 solutions
28: 510% done, found 0 solutions
28: 520% done, found 0 solutions
28: 530% done, found 0 solutions
28: 540% done, found 0 solutions
28: 550% done, found 0 solutions
28: 560% done, found 0 solutions
28: 570% done, found 0 solutions
28: 580% done, found 0 solutions
28: 590% done, found 0 solutions
28: 600% done, found 0 solutions
28: 610% done, found 0 solutions
28: 620% done, found 0 solutions
28: 630% done, found 0 solutions
28: 640% done, found 0 solutions
28: 650% done, found 0 solutions
28: 660% done, found 0 solutions
28: 670% done, found 0 solutions
28: 680% done, found 0 solutions
28: 690% done, found 0 solutions
28: 700% done, found 0 solutions
28: 710% done, found 0 solutions
28: 720% done, found 0 solutions
28: 730% done, found 0 solutions
28: 740% done, found 0 solutions
28: 750% done, found 0 solutions
28: 760% done, found 0 solutions
28: 770% done, found 0 solutions
28: 780% done, found 0 solutions
28: 790% done, found 0 solutions
28: 800% done, found 0 solutions
28: 810% done, found 0 solutions
28: 820% done, found 0 solutions
28: 830% done, found 0 solutions
28: 840% done, found 0 solutions
28: 850% done, found 0 solutions
28: 860% done, found 0 solutions
28: 870% done, found 0 solutions
28: 880% done, found 0 solutions
28: 890% done, found 0 solutions
28: 900% done, found 0 solutions
28: 910% done, found 0 solutions
28: 920% done, found 0 solutions
28: 930% done, found 0 solutions
28: 940% done, found 0 solutions
28: 950% done, found 0 solutions
28: 960% done, found 0 solutions
28: 970% done, found 0 solutions
28: 980% done, found 0 solutions
28: 990% done, found 0 solutions
28: 1000% done, found 0 solutions
n = 28,	0:29:19 ... 

Computing for N = 29:
29: 10% done, found 0 solutions
29: 20% done, found 0 solutions
29: 30% done, found 0 solutions
29: 40% done, found 0 solutions
29: 50% done, found 0 solutions
29: 60% done, found 0 solutions
29: 70% done, found 0 solutions
29: 80% done, found 0 solutions
29: 90% done, found 0 solutions
29: 100% done, found 0 solutions
29: 110% done, found 0 solutions
29: 120% done, found 0 solutions
29: 130% done, found 0 solutions
29: 140% done, found 0 solutions
29: 150% done, found 0 solutions
29: 160% done, found 0 solutions
29: 170% done, found 0 solutions
29: 180% done, found 0 solutions
29: 190% done, found 0 solutions
29: 200% done, found 0 solutions
29: 210% done, found 0 solutions
29: 220% done, found 0 solutions
29: 230% done, found 0 solutions
29: 240% done, found 0 solutions
29: 250% done, found 0 solutions
29: 260% done, found 0 solutions
29: 270% done, found 0 solutions
29: 280% done, found 0 solutions
29: 290% done, found 0 solutions
29: 300% done, found 0 solutions
29: 310% done, found 0 solutions
29: 320% done, found 0 solutions
29: 330% done, found 0 solutions
29: 340% done, found 0 solutions
29: 350% done, found 0 solutions
29: 360% done, found 0 solutions
29: 370% done, found 0 solutions
29: 380% done, found 0 solutions
29: 390% done, found 0 solutions
29: 400% done, found 0 solutions
29: 410% done, found 0 solutions
29: 420% done, found 0 solutions
29: 430% done, found 0 solutions
29: 440% done, found 0 solutions
29: 450% done, found 0 solutions
29: 460% done, found 0 solutions
29: 470% done, found 0 solutions
29: 480% done, found 0 solutions
29: 490% done, found 0 solutions
29: 500% done, found 0 solutions
29: 510% done, found 0 solutions
29: 520% done, found 0 solutions
29: 530% done, found 0 solutions
29: 540% done, found 0 solutions
29: 550% done, found 0 solutions
29: 560% done, found 0 solutions
29: 570% done, found 0 solutions
29: 580% done, found 0 solutions
29: 590% done, found 0 solutions
29: 600% done, found 0 solutions
29: 610% done, found 0 solutions
29: 620% done, found 0 solutions
29: 630% done, found 0 solutions
29: 640% done, found 1 solutions
29: 650% done, found 1 solutions
29: 660% done, found 1 solutions
29: 670% done, found 1 solutions
29: 680% done, found 1 solutions
29: 690% done, found 1 solutions
29: 700% done, found 1 solutions
29: 710% done, found 1 solutions
29: 720% done, found 3 solutions
29: 730% done, found 3 solutions
29: 740% done, found 3 solutions
29: 750% done, found 3 solutions
29: 760% done, found 3 solutions
29: 770% done, found 3 solutions
29: 780% done, found 3 solutions
29: 790% done, found 3 solutions
29: 800% done, found 4 solutions
29: 810% done, found 4 solutions
29: 820% done, found 4 solutions
29: 830% done, found 4 solutions
29: 840% done, found 4 solutions
29: 850% done, found 4 solutions
29: 860% done, found 4 solutions
29: 870% done, found 4 solutions
29: 880% done, found 4 solutions
29: 890% done, found 4 solutions
29: 900% done, found 4 solutions
29: 910% done, found 4 solutions
29: 920% done, found 4 solutions
29: 930% done, found 4 solutions
29: 940% done, found 4 solutions
29: 950% done, found 4 solutions
29: 960% done, found 4 solutions
29: 970% done, found 4 solutions
29: 980% done, found 4 solutions
29: 990% done, found 4 solutions
29: 1000% done, found 4 solutions
